mapped_rxn,template
Br[c:32]1[cH:31][cH:30][c:29]([C:27]([NH:26][CH:21]([CH2:20][N+:17]([CH3:16])([CH3:18])[CH3:19])[CH2:22][C:23]([O-:24])=[O:25])=[O:28])[o:34]1.[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][O:7][c:8]1[cH:9][cH:10][cH:11][c:12]([C:14]#[CH:15])[cH:13]1>>[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][O:7][c:8]1[cH:9][cH:10][cH:11][c:12]([cH:13]1)[C:14]#[C:15][c:32]1[cH:31][cH:30][c:29]([o:34]1)[C:27](=[O:28])[NH:26][CH:21]([CH2:22][C:23]([O-:24])=[O:25])[CH2:20][N+:17]([CH3:19])([CH3:18])[CH3:16],Br-[c:1].C#[C:2]>>[C:2]-[c:1]
Cl[CH2:26][CH2:25][N:23]([CH3:22])[CH3:24].[OH:1][CH2:2][c:3]1[s:4][cH:5][c:6]2[c:7]1-[c:8]1[cH:9][c:10]([Cl:11])[cH:12][cH:13][c:14]1[O:15][c:16]1[cH:17][cH:18][cH:19][cH:20][c:21]1-2>>[CH3:22][N:23]([CH3:24])[CH2:25][CH2:26][O:1][CH2:2][c:3]1[s:4][cH:5][c:6]-2[c:7]1-[c:8]1[cH:9][c:10]([Cl:11])[cH:12][cH:13][c:14]1[O:15][c:16]1[cH:17][cH:18][cH:19][cH:20][c:21]-21,[O:1].Cl-[C:2]>>[C:2]-[O:1]
Cl[CH2:6][CH2:5][CH2:4][N:2]([CH3:1])[CH3:3].[CH3:8][CH2:9][O:10][C:11](=[O:12])[c:13]1[cH:14][cH:15][c:16](-[c:27]2[c:28]([O:29][CH3:30])[cH:31][cH:32][cH:33][c:34]2[O:35][CH3:36])[c:17](-[c:19]2[cH:20][cH:21][c:22]([Cl:23])[c:24]([OH:25])[cH:26]2)[n:18]1>>[CH3:8][CH2:9][O:10][C:11](=[O:12])[c:13]1[cH:14][cH:15][c:16]([c:17]([n:18]1)-[c:19]1[cH:20][cH:21][c:22]([Cl:23])[c:24]([O:25][CH2:6][CH2:5][CH2:4][N:2]([CH3:1])[CH3:3])[cH:26]1)-[c:27]1[c:34]([O:35][CH3:36])[cH:33][cH:32][cH:31][c:28]1[O:29][CH3:30],[O:1]-c.Cl-[C:2]>>[C:2]-[O:1]
Cl[CH2:13][c:12]1[c:2]([OH:1])[cH:3][cH:4][c:5]2[c:11]1[CH2:10][CH2:9][CH2:8][C:6]2=[O:7].[SH:15][CH2:16][c:17]1[cH:18][cH:19][c:20]([Cl:21])[c:22]([Cl:23])[cH:24]1>>[OH:1][c:2]1[cH:3][cH:4][c:5]2[C:6](=[O:7])[CH2:8][CH2:9][CH2:10][c:11]2[c:12]1[CH2:13][S:15][CH2:16][c:17]1[cH:18][cH:19][c:20]([Cl:21])[c:22]([Cl:23])[cH:24]1,[S:1].Cl-[C:2]>>[C:2]-[S:1]
O=[CH:6][CH:3]([O:2][CH3:1])[O:4][CH3:5].[CH3:8][CH2:9][CH2:10][CH2:11][NH2:12]>>[CH3:8][CH2:9][CH2:10][CH2:11][NH:12][CH2:6][CH:3]([O:2][CH3:1])[O:4][CH3:5],[N:1].O=[C:2]>>[C:2]-[N:1]
O=[N+:11]([O-])[c:9]1[c:7]([F:8])[cH:6][cH:5][c:4]([N:2]([CH3:1])[CH3:3])[cH:10]1>>[CH3:3][N:2]([CH3:1])[c:4]1[cH:5][cH:6][c:7]([F:8])[c:9]([NH2:11])[cH:10]1,O=[N:1]-[O-]>>[N:1]
Cl[C:22]([c:21]1[c:16]([O:15][CH2:14][CH3:13])[cH:17][cH:18][cH:19][cH:20]1)=[O:24].[NH2:1][C:2](=[O:3])[c:4]1[n:5][cH:6][cH:7][c:8]([C:9]#[N:10])[c:11]1[NH2:12]>>[CH3:13][CH2:14][O:15][c:16]1[cH:17][cH:18][cH:19][cH:20][c:21]1[C:22](=[O:24])[NH:12][c:11]1[c:8]([cH:7][cH:6][n:5][c:4]1[C:2]([NH2:1])=[O:3])[C:9]#[N:10],[N:1].Cl-[C:2]>>[C:2]-[N:1]
CS(=O)(=O)[c:34]1[n:33][c:30]([O:31][CH3:32])[cH:29][c:28]([O:27][CH3:26])[n:35]1.[OH:1][C:2](=[O:3])[c:4]1[c:5]([OH:6])[cH:7][cH:8][c:9]2[o:10][c:11]([C:22]([F:23])([F:24])[F:25])[c:12]([C:13](=[O:14])[c:15]3[cH:16][cH:17][cH:18][cH:19][cH:20]3)[c:21]12>>[CH3:26][O:27][c:28]1[cH:29][c:30]([O:31][CH3:32])[n:33][c:34]([O:6][c:5]2[cH:7][cH:8][c:9]3[o:10][c:11]([c:12]([C:13](=[O:14])[c:15]4[cH:20][cH:19][cH:18][cH:17][cH:16]4)[c:21]3[c:4]2[C:2]([O-:1])=[O:3])[C:22]([F:23])([F:24])[F:25])[n:35]1,[O:1]-c.O=C-[O:2].C-S(=O)(=O)-[c:3]>>[O:2].[O:1]-[c:3]
O=S(=O)(O[Si:17]([C:14]([CH3:13])([CH3:15])[CH3:16])([CH3:18])[CH3:19])C(F)(F)F.[CH3:1][O:2][C:3](=[O:4])[c:5]1[c:6]([NH2:7])[s:8][cH:9][c:10]1[CH2:11][OH:12]>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[c:6]([NH2:7])[s:8][cH:9][c:10]1[CH2:11][O:12][Si:17]([CH3:18])([CH3:19])[C:14]([CH3:13])([CH3:16])[CH3:15],[O:1].F-C(-F)(-F)-S(=O)(=O)-O-[Si:2]>>[O:1]-[Si:2]
O[C:31]([CH:30]([N:16]1[CH:15]([CH2:14][c:13]2[cH:12][cH:11][c:10]([O:9][CH3:8])[c:41]([O:42][CH3:43])[cH:40]2)[c:29]2[c:20]([cH:21][c:22]([O:23][CH3:24])[c:25]([O:26][CH3:27])[cH:28]2)[CH2:19][CH2:18][CH2:17]1)[c:34]1[cH:35][cH:36][cH:37][cH:38][cH:39]1)=[O:33].[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH2:6][NH2:7]>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH2:6][NH:7][C:31](=[O:33])[CH:30]([N:16]1[CH2:17][CH2:18][CH2:19][c:20]2[cH:21][c:22]([O:23][CH3:24])[c:25]([O:26][CH3:27])[cH:28][c:29]2[CH:15]1[CH2:14][c:13]1[cH:12][cH:11][c:10]([O:9][CH3:8])[c:41]([O:42][CH3:43])[cH:40]1)[c:34]1[cH:35][cH:36][cH:37][cH:38][cH:39]1,[N:1].O-[C:2]=O>>[C:2]-[N:1]
Cl[c:8]1[cH:9][n:10][c:11]2[c:24]([n:25]1)[O:23][CH2:22][CH2:21][N:13]([CH2:14][c:15]1[cH:16][cH:17][cH:18][cH:19][cH:20]1)[CH2:12]2.[CH3:1][c:2]1[n:3][cH:4][cH:5][nH:6]1>>[CH3:1][c:2]1[n:3][cH:4][cH:5][n:6]1-[c:8]1[cH:9][n:10][c:11]2[CH2:12][N:13]([CH2:14][c:15]3[cH:16][cH:17][cH:18][cH:19][cH:20]3)[CH2:21][CH2:22][O:23][c:24]2[n:25]1,[n:1].Cl-[c:2]>>[c:2]-[n:1]
O=P(Cl)(Cl)[Cl:4].O=[c:10]1[nH:9][n:8][c:7]([CH3:6])[c:21](-[c:22]2[cH:23][cH:24][c:25]([Cl:26])[cH:27][cH:28]2)[c:12]1-[c:13]1[cH:14][cH:15][cH:16][c:17]([F:18])[c:19]1[F:20]>>[CH3:6][c:7]1[n:8][n:9][c:10]([Cl:4])[c:12](-[c:13]2[cH:14][cH:15][cH:16][c:17]([F:18])[c:19]2[F:20])[c:21]1-[c:22]1[cH:28][cH:27][c:25]([Cl:26])[cH:24][cH:23]1,Cl-P(-Cl)(=O)-[Cl:1].O=[c:2]:[n:3]>>[Cl:1]-[c:2]:[n:3]
O[C:33]([CH:32]=[CH:31][c:30]1[c:24]([NH:23][C:21]([O:20][C:17]([CH3:16])([CH3:18])[CH3:19])=[O:22])[cH:25][cH:26][c:27]([Cl:28])[cH:29]1)=[O:35].[CH3:1][CH:2]1[CH2:3][N:4]([CH2:5][c:6]2[cH:7][cH:8][c:9]([F:10])[cH:11][cH:12]2)[CH2:13][CH2:14][NH:15]1>>[CH3:1][CH:2]1[CH2:3][N:4]([CH2:5][c:6]2[cH:12][cH:11][c:9]([F:10])[cH:8][cH:7]2)[CH2:13][CH2:14][N:15]1[C:33](=[O:35])[CH:32]=[CH:31][c:30]1[cH:29][c:27]([Cl:28])[cH:26][cH:25][c:24]1[NH:23][C:21](=[O:22])[O:20][C:17]([CH3:16])([CH3:19])[CH3:18],[N:1].O-[C:2]=O>>[C:2]-[N:1]
O=S(Cl)[Cl:3].O[C:13]([c:11]1[cH:10][c:8]([CH3:9])[cH:7][c:6]([CH3:5])[cH:12]1)=[O:15]>>[CH3:9][c:8]1[cH:7][c:6]([CH3:5])[cH:12][c:11]([cH:10]1)[C:13]([Cl:3])=[O:15],O-[C:1]=O.Cl-S(=O)-[Cl:2]>>[C:1]-[Cl:2]
O[C:37]([CH2:36][S:35][c:34]1[cH:33][cH:32][c:31]([O:30][CH3:29])[c:41]([O:42][CH3:43])[cH:40]1)=[O:39].[NH2:1][CH:2]1[CH:3]2[S:4][CH2:5][C:6]([CH:7]=[C:8]3[CH2:9][CH2:10][N:11]([CH2:12][c:13]4[cH:14][cH:15][cH:16][c:17]([OH:18])[cH:19]4)[C:20]3=[O:21])=[C:22]([C:26]([OH:27])=[O:28])[N:23]2[C:24]1=[O:25]>>[CH3:29][O:30][c:31]1[cH:32][cH:33][c:34]([S:35][CH2:36][C:37](=[O:39])[NH:1][CH:2]2[CH:3]3[S:4][CH2:5][C:6]([CH:7]=[C:8]4[CH2:9][CH2:10][N:11]([CH2:12][c:13]5[cH:14][cH:15][cH:16][c:17]([OH:18])[cH:19]5)[C:20]4=[O:21])=[C:22]([N:23]3[C:24]2=[O:25])[C:26]([OH:27])=[O:28])[cH:40][c:41]1[O:42][CH3:43],[N:1].O-[C:2]=O>>[C:2]-[N:1]
O[C:23]([CH:16]([N:14]1[C:12](=[O:13])[CH:11]=[C:10]([O:9][CH3:8])[CH2:15]1)[CH2:17][CH:18]1[CH2:19][CH2:20][CH2:21][CH2:22]1)=[O:25].[NH2:1][c:2]1[cH:3][n:4][cH:5][cH:6][n:7]1>>[CH3:8][O:9][C:10]1=[CH:11][C:12](=[O:13])[N:14]([CH2:15]1)[CH:16]([CH2:17][CH:18]1[CH2:19][CH2:20][CH2:21][CH2:22]1)[C:23](=[O:25])[NH:1][c:2]1[cH:3][n:4][cH:5][cH:6][n:7]1,[N:1].O-[C:2]=O>>[C:2]-[N:1]
Br[CH2:19][c:18]1[c:17]([C:28]([F:29])([F:30])[F:31])[n:16][n:15](-[c:12]2[cH:11][cH:10][c:9]([S:6]([NH2:5])(=[O:7])=[O:8])[cH:14][cH:13]2)[c:21]1-[c:22]1[cH:23][cH:24][cH:25][cH:26][cH:27]1.CS(C)=[O:4]>>[NH2:5][S:6](=[O:7])(=[O:8])[c:9]1[cH:14][cH:13][c:12]([cH:11][cH:10]1)-[n:15]1[n:16][c:17]([c:18]([CH:19]=[O:4])[c:21]1-[c:22]1[cH:27][cH:26][cH:25][cH:24][cH:23]1)[C:28]([F:29])([F:30])[F:31],Br-[C:1].C-S(-C)=[O:2]>>[C:1]=[O:2]
O[C:27]([CH:26]=[C:24]([CH2:23][CH2:22][CH:21]=[C:19]([CH2:18][CH2:17][CH:16]=[C:14]([CH2:13][CH2:12][CH:11]=[C:9]([CH3:8])[CH3:10])[CH3:15])[CH3:20])[CH3:25])=[O:29].[OH:1][CH2:2][CH2:3][NH:4][CH2:5][CH2:6][OH:7]>>[CH3:8][C:9]([CH3:10])=[CH:11][CH2:12][CH2:13][C:14]([CH3:15])=[CH:16][CH2:17][CH2:18][C:19]([CH3:20])=[CH:21][CH2:22][CH2:23][C:24]([CH3:25])=[CH:26][C:27](=[O:29])[N:4]([CH2:5][CH2:6][OH:7])[CH2:3][CH2:2][OH:1],[N:1].O-[C:2]=O>>[C:2]-[N:1]
O=S(Cl)[Cl:3].O[C:11]([c:10]1[cH:9][cH:8][c:7]([O:6][CH3:5])[cH:16][c:14]1[OH:15])=[O:13]>>[CH3:5][O:6][c:7]1[cH:8][cH:9][c:10]([C:11]([Cl:3])=[O:13])[c:14]([OH:15])[cH:16]1,O-[C:1]=O.Cl-S(=O)-[Cl:2]>>[C:1]-[Cl:2]
Br[C:18]1=[CH:20][C:8]([CH2:7][F:6])([CH2:9][F:10])[O:11][c:12]2[cH:13][cH:14][c:15]([C:21]([F:22])([F:23])[F:24])[cH:16][c:17]21.[CH3:1][CH2:2][N:3]=[C:4]=[S:5]>>[CH3:1][CH2:2][NH:3][C:4](=[S:5])[C:18]1=[CH:20][C:8]([CH2:7][F:6])([CH2:9][F:10])[O:11][c:12]2[cH:13][cH:14][c:15]([cH:16][c:17]12)[C:21]([F:22])([F:23])[F:24],Br-[C:1]=C.[C:2]=[N:3]>>[C:1]-[C:2]-[N:3]
[CH3:7][c:8]1[cH:9][c:10]2[cH:11][cH:12][cH:13][cH:14][c:15]2[n:16]1[CH3:17].[S:1]=[C:2]1[NH:3][CH2:4][CH2:5][NH:6]1>>[CH3:7][c:8]1[c:9]([S:1][C:2]2=[N:6][CH2:5][CH2:4][NH:3]2)[c:10]2[cH:11][cH:12][cH:13][cH:14][c:15]2[n:16]1[CH3:17],[c:1].[N:2]-[C:3]=[S:4]>>[c:1]-[S:4]-[C:3]=[N:2]
CO[C:4](=[O:5])[CH:6]([CH2:7][c:8]1[cH:9][cH:10][c:11]([Cl:12])[c:13]([Cl:14])[cH:15]1)[NH:16][C:17](=[O:18])[c:19]1[cH:20][cH:21][c:22]([Cl:23])[cH:24][c:25]1[NH:26][S:27](=[O:28])(=[O:29])[c:30]1[cH:31][cH:32][cH:33][c:34]2[n:35][s:36][n:37][c:38]12.[OH2:1]>>[OH:1][C:4](=[O:5])[CH:6]([CH2:7][c:8]1[cH:9][cH:10][c:11]([Cl:12])[c:13]([Cl:14])[cH:15]1)[NH:16][C:17](=[O:18])[c:19]1[cH:20][cH:21][c:22]([Cl:23])[cH:24][c:25]1[NH:26][S:27](=[O:29])(=[O:28])[c:30]1[cH:31][cH:32][cH:33][c:34]2[n:35][s:36][n:37][c:38]12,[O:1].C-O-[C:2]=O>>[C:2]-[O:1]
Cl[C:2](Cl)=[O:4].[CH3:5][CH2:6][C:7](=[O:8])[c:9]1[c:10]([CH3:11])[cH:12][c:13]([NH2:14])[cH:15][c:16]1[CH3:17]>>[CH3:5][CH2:6][C:7](=[O:8])[c:9]1[c:16]([CH3:17])[cH:15][c:13]([cH:12][c:10]1[CH3:11])[N:14]=[C:2]=[O:4],[N:1].Cl-[C:2]-Cl>>[C:2]=[N:1]
O=S(=O)(O[c:10]1[cH:9][cH:8][c:7]2[c:20]([cH:19]1)[C:2]([CH3:1])([CH3:3])[CH2:4][C:5]2=[O:6])C(F)(F)F.OB(O)[c:24]1[cH:25][cH:26][c:27]([C:30]#[N:31])[cH:28][cH:29]1>>[CH3:3][C:2]1([CH3:1])[CH2:4][C:5](=[O:6])[c:7]2[cH:8][cH:9][c:10]([cH:19][c:20]12)-[c:24]1[cH:25][cH:26][c:27]([cH:28][cH:29]1)[C:30]#[N:31],O-B(-O)-[c:1].F-C(-F)(-F)-S(=O)(=O)-O-[c:2]>>[c:1]-[c:2]
CCO[C:5](=[O:6])[CH2:7][c:8]1[cH:9][s:10][c:11](-[c:13]2[cH:14][cH:15][c:16]([C:20]([CH2:21][CH3:22])([CH2:23][CH3:24])[c:25]3[cH:26][cH:27][c:28]([CH:29]=[CH:30][C:31]([OH:32])([C:33]([F:34])([F:35])[F:36])[C:37]([F:38])([F:39])[F:40])[c:41]([CH3:42])[cH:43]3)[cH:17][c:18]2[CH3:19])[n:12]1.[OH2:1]>>[CH3:24][CH2:23][C:20]([CH2:21][CH3:22])([c:25]1[cH:26][cH:27][c:28]([CH:29]=[CH:30][C:31]([OH:32])([C:33]([F:34])([F:35])[F:36])[C:37]([F:38])([F:39])[F:40])[c:41]([CH3:42])[cH:43]1)[c:16]1[cH:15][cH:14][c:13](-[c:11]2[n:12][c:8]([CH2:7][C:5]([OH:1])=[O:6])[cH:9][s:10]2)[c:18]([CH3:19])[cH:17]1,[O:1].C-C-O-[C:2]=O>>[C:2]-[O:1]
N[c:7]1[c:6]2[c:4](=[O:5])[cH:3][c:2]([CH3:1])[o:14][c:13]2[c:11]([CH3:12])[cH:10][cH:9]1.O=N[O-].[Cu][C:19]#[N:20]>>[CH3:1][c:2]1[cH:3][c:4](=[O:5])[c:6]2[c:7]([cH:9][cH:10][c:11]([CH3:12])[c:13]2[o:14]1)[C:19]#[N:20],N-[c:1].N#[C:2]-[Cu]>>[C:2]-[c:1]
CO[C:11](=[O:12])[c:13]1[n:7]([CH2:8][CH2:9][N:10]=[N+]=[N-])[n:6][c:5]([C:3]([O:2][CH3:1])=[O:4])[c:14]1[O:15][CH2:16][c:17]1[cH:18][cH:19][cH:20][cH:21][cH:22]1>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[n:6][n:7]2[c:13]([c:14]1[O:15][CH2:16][c:17]1[cH:18][cH:19][cH:20][cH:21][cH:22]1)[C:11](=[O:12])[NH:10][CH2:9][CH2:8]2,C-O-[C:1]=O.[N-]=[N+]=[N:2]>>[C:1]-[N:2]
O[C:16](=[O:17])[c:18]1[cH:19][cH:20][cH:21][n:22][c:23]1[O:24][c:25]1[cH:26][cH:27][c:28]([F:29])[cH:30][cH:31]1.[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[NH:8][CH2:9][c:10]1[cH:11][cH:12][c:13]([CH2:14][NH2:15])[cH:32][cH:33]1>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[NH:8][CH2:9][c:10]1[cH:11][cH:12][c:13]([CH2:14][NH:15][C:16](=[O:17])[c:18]2[cH:19][cH:20][cH:21][n:22][c:23]2[O:24][c:25]2[cH:26][cH:27][c:28]([F:29])[cH:30][cH:31]2)[cH:32][cH:33]1,[N:1].O-[C:2]=O>>[C:2]-[N:1]
O=S(Br)[Br:15].O[CH2:14][c:13]1[cH:12][c:11]2[c:18]([cH:17][cH:16]1)[CH:8]([c:5]1[cH:4][cH:3][c:2]([F:1])[cH:7][cH:6]1)[O:9][CH2:10]2>>[F:1][c:2]1[cH:3][cH:4][c:5]([CH:8]2[O:9][CH2:10][c:11]3[cH:12][c:13]([CH2:14][Br:15])[cH:16][cH:17][c:18]32)[cH:6][cH:7]1,O-[C:1].Br-S(=O)-[Br:2]>>[Br:2]-[C:1]
O[C:7](=[O:8])[c:9]1[cH:10][c:11]([Br:12])[c:13]([O:14][CH2:15][c:16]2[cH:17][cH:18][cH:19][cH:20][cH:21]2)[cH:22][c:23]1[O:24][CH2:25][c:26]1[cH:27][cH:28][cH:29][cH:30][cH:31]1.[CH3:1][O:2][CH2:3][CH2:4][CH2:5][NH2:6]>>[CH3:1][O:2][CH2:3][CH2:4][CH2:5][NH:6][C:7](=[O:8])[c:9]1[cH:10][c:11]([Br:12])[c:13]([O:14][CH2:15][c:16]2[cH:17][cH:18][cH:19][cH:20][cH:21]2)[cH:22][c:23]1[O:24][CH2:25][c:26]1[cH:27][cH:28][cH:29][cH:30][cH:31]1,[N:1].O-[C:2]=O>>[C:2]-[N:1]
C=[CH:24][CH2:23][CH2:22][CH2:21][CH:20]([NH:19][C:17]([c:6]1[c:5]([CH3:4])[n:9](-[c:10]2[cH:11][cH:12][c:13]([Cl:14])[cH:15][cH:16]2)[n:8][cH:7]1)=[O:18])[c:26]1[cH:27][cH:28][cH:29][c:30]([C:32]([F:33])([F:34])[F:35])[cH:31]1.[O-][O+]=[O:3]>>[CH3:4][c:5]1[c:6]([cH:7][n:8][n:9]1-[c:10]1[cH:16][cH:15][c:13]([Cl:14])[cH:12][cH:11]1)[C:17](=[O:18])[NH:19][CH:20]([CH2:21][CH2:22][CH2:23][CH:24]=[O:3])[c:26]1[cH:27][cH:28][cH:29][c:30]([cH:31]1)[C:32]([F:33])([F:34])[F:35],C=[C:1].[O-]-[O+]=[O:2]>>[C:1]=[O:2]
CO[C:4](=[O:5])[CH:6]([CH2:7][S:8][CH2:9][c:10]1[cH:11][cH:12][cH:13][cH:14][cH:15]1)[NH:16][C:17](=[O:18])[CH:19]([CH2:20][CH:21]([CH2:22][c:23]1[cH:24][cH:25][cH:26][cH:27][cH:28]1)[C:29](=[O:30])[NH:31][c:32]1[cH:33][cH:34][cH:35][cH:36][n:37]1)[CH2:38][c:39]1[cH:40][cH:41][cH:42][cH:43][cH:44]1.[OH2:1]>>[OH:1][C:4](=[O:5])[CH:6]([CH2:7][S:8][CH2:9][c:10]1[cH:11][cH:12][cH:13][cH:14][cH:15]1)[NH:16][C:17](=[O:18])[CH:19]([CH2:20][CH:21]([CH2:22][c:23]1[cH:24][cH:25][cH:26][cH:27][cH:28]1)[C:29](=[O:30])[NH:31][c:32]1[cH:33][cH:34][cH:35][cH:36][n:37]1)[CH2:38][c:39]1[cH:40][cH:41][cH:42][cH:43][cH:44]1,[O:1].C-O-[C:2]=O>>[C:2]-[O:1]
Br[c:13]1[cH:14][cH:15][n:16][cH:17][cH:18]1.OB(O)[c:4]1[c:5]([F:6])[cH:7][cH:8][cH:9][c:10]1[F:11]>>[F:6][c:5]1[cH:7][cH:8][cH:9][c:10]([F:11])[c:4]1-[c:13]1[cH:14][cH:15][n:16][cH:17][cH:18]1,Br-[c:1].O-B(-O)-[c:2]>>[c:1]-[c:2]
Br[CH2:20][c:21]1[cH:22][cH:23][cH:24][cH:25][cH:26]1.[CH3:1][CH2:2][O:3][C:4](=[O:5])[c:6]1[nH:7][c:8](=[O:9])[c:10]([CH2:11][CH:12]([CH3:13])[CH3:14])[n+:15]([O-:16])[c:17]1[NH2:18]>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[c:6]1[n:7][c:8]([O:9][CH2:20][c:21]2[cH:22][cH:23][cH:24][cH:25][cH:26]2)[c:10]([CH2:11][CH:12]([CH3:14])[CH3:13])[n+:15]([O-:16])[c:17]1[NH2:18],Br-[C:1].[n:2]:[c:3]=[O:4]>>[C:1]-[O:4]-[c:3]:[n:2]
CCOP(=O)(OCC)[CH2:6][C:7]([CH3:8])=[O:9].O=[CH:18][c:17]1[cH:16][c:15]([CH2:14][CH3:13])[c:22]([N:23]=[C:24]2[S:25][CH2:26][C:27]3([CH2:28][CH2:29][CH2:30][CH2:31]3)[N:32]2[CH:33]2[CH2:34][CH2:35][CH2:36][CH2:37]2)[cH:21][cH:20]1>>[CH3:13][CH2:14][c:15]1[cH:16][c:17]([CH:18]=[CH:6][C:7]([CH3:8])=[O:9])[cH:20][cH:21][c:22]1[N:23]=[C:24]1[S:25][CH2:26][C:27]2([CH2:31][CH2:30][CH2:29][CH2:28]2)[N:32]1[CH:33]1[CH2:37][CH2:36][CH2:35][CH2:34]1,O=[C:1].C-C-O-P(=O)(-O-C-C)-[C:2]-C=O>>[C:1]=[C:2]
CCO[C:5](=[O:6])[CH:7]([NH2:8])[CH2:9][c:10]1[n:11][c:12]2[cH:13][cH:14][cH:15][cH:16][c:17]2[n:18][c:19]1[CH2:20][P:21]([OH:22])([OH:23])=[O:24].[OH2:1]>>[NH2:8][CH:7]([CH2:9][c:10]1[n:11][c:12]2[cH:13][cH:14][cH:15][cH:16][c:17]2[n:18][c:19]1[CH2:20][P:21]([OH:23])([OH:22])=[O:24])[C:5]([OH:1])=[O:6],[O:1].C-C-O-[C:2]=O>>[C:2]-[O:1]
O[C:23](=[O:24])[C:25]1([c:31]2[cH:32][cH:33][c:34]([F:35])[cH:36][cH:37]2)[CH2:26][CH2:27][CH2:28][CH2:29][CH2:30]1.[CH3:1][CH2:2][C:3](=[O:4])[NH:5][c:6]1[cH:7][cH:8][cH:9][c:10]([CH:12]2[CH2:13][CH2:14][N:15]([CH2:16][CH2:17][CH2:18][NH2:19])[CH2:20][CH2:21]2)[cH:11]1>>[CH3:1][CH2:2][C:3](=[O:4])[NH:5][c:6]1[cH:7][cH:8][cH:9][c:10]([cH:11]1)[CH:12]1[CH2:13][CH2:14][N:15]([CH2:16][CH2:17][CH2:18][NH:19][C:23](=[O:24])[C:25]2([CH2:26][CH2:27][CH2:28][CH2:29][CH2:30]2)[c:31]2[cH:37][cH:36][c:34]([F:35])[cH:33][cH:32]2)[CH2:20][CH2:21]1,[N:1].O-[C:2]=O>>[C:2]-[N:1]
Cl[C:10](Cl)=[S:12].[NH2:1][c:2]1[cH:3][cH:4][cH:5][c:6]([F:7])[cH:8]1>>[F:7][c:6]1[cH:5][cH:4][cH:3][c:2]([cH:8]1)[N:1]=[C:10]=[S:12],[N:1].Cl-[C:2]-Cl>>[C:2]=[N:1]
Br[c:23]1[c:22]2[n:21][n:20][c:19]([C:17]([NH:16][CH2:15][CH2:14][CH3:13])=[O:18])[c:29]([NH2:30])[c:28]2[cH:27][cH:26][cH:25]1.OB(O)[c:4]1[cH:5][cH:6][c:7]2[nH:8][cH:9][cH:10][c:11]2[cH:12]1>>[CH3:13][CH2:14][CH2:15][NH:16][C:17](=[O:18])[c:19]1[n:20][n:21][c:22]2[c:23]([cH:25][cH:26][cH:27][c:28]2[c:29]1[NH2:30])-[c:4]1[cH:5][cH:6][c:7]2[nH:8][cH:9][cH:10][c:11]2[cH:12]1,Br-[c:1].O-B(-O)-[c:2]>>[c:1]-[c:2]
O=S(Cl)[Cl:3].O[C:9]([CH:8]([CH:6]([CH3:5])[CH3:7])[c:12]1[cH:13][cH:14][c:15]([O:16][C:17]([F:18])([F:19])[F:20])[cH:21][cH:22]1)=[O:11]>>[CH3:7][CH:6]([CH3:5])[CH:8]([C:9]([Cl:3])=[O:11])[c:12]1[cH:22][cH:21][c:15]([O:16][C:17]([F:18])([F:19])[F:20])[cH:14][cH:13]1,O-[C:1]=O.Cl-S(=O)-[Cl:2]>>[C:1]-[Cl:2]
OB(O)[c:6]1[cH:7][cH:8][c:9]2[c:10]([c:19]1[F:20])[CH2:11][c:12]1[c:13]-2[cH:14][cH:15][cH:16][c:17]1[F:18].O[OH:2]>>[OH:2][c:6]1[cH:7][cH:8][c:9]-2[c:10]([CH2:11][c:12]3[c:13]-2[cH:14][cH:15][cH:16][c:17]3[F:18])[c:19]1[F:20],O-[O:1].O-B(-O)-[c:2]>>[O:1]-[c:2]
O[C:20](=[O:21])[c:22]1[cH:23][c:24]2[c:25]([O:26][CH2:27][c:28]3[cH:29][o:30][c:31]4[cH:32][c:33]([F:34])[cH:35][cH:36][c:37]34)[cH:38][cH:39][cH:40][c:41]2[nH:42]1.[CH3:1][CH:2]([CH2:3][N:4]1[CH2:5][CH2:6][CH:7]([NH2:8])[CH2:9][CH2:10]1)[N:11]1[CH2:12][CH2:13][CH:14]([OH:15])[CH:16]([CH3:17])[CH2:18]1>>[CH3:1][CH:2]([CH2:3][N:4]1[CH2:10][CH2:9][CH:7]([CH2:6][CH2:5]1)[NH:8][C:20](=[O:21])[c:22]1[cH:23][c:24]2[c:25]([O:26][CH2:27][c:28]3[cH:29][o:30][c:31]4[cH:32][c:33]([F:34])[cH:35][cH:36][c:37]34)[cH:38][cH:39][cH:40][c:41]2[nH:42]1)[N:11]1[CH2:12][CH2:13][CH:14]([OH:15])[CH:16]([CH3:17])[CH2:18]1,[N:1].O-[C:2]=O>>[C:2]-[N:1]
