reaction,mapped_reaction
O=C(C(C1=CC=CC=C1)=O)C2=CC=CC=C2.NN.NN>>N/N=C(/C(C3=CC=CC=C3)=N/N)C4=CC=CC=C4.O.O,[O:1]=[#6:2](-[#6:3](=[O:10])-[#6:4]-1=[#6:5]-[#6:6]=[#6:7]-[#6:8]=[#6:9]-1)-[#6:11]-1=[#6:12]-[#6:13]=[#6:14]-[#6:15]=[#6:16]-1.[#7:17]-[#7:18].[#7:19]-[#7:20]>>[#7:20]\[#7:19]=[#6:3](\[#6:2](=[#7:17]\[#7:18])\[#6:11]-1=[#6:12]-[#6:13]=[#6:14]-[#6:15]=[#6:16]1)/[#6:4]-1=[#6:5]-[#6:6]=[#6:7]-[#6:8]=[#6:9]1.[#8:10].[#8:1]
O=NO.CCOC(CN)=O>>CCOC(C=N#N)=O.O.O,[#8:3]-[#7:2]=[O:1].[#6:4]-[#6:5]-[#8:6]-[#6:7](=[O:10])-[#6:8]-[#7:9]>>[#6:4]-[#6:5]-[#8:6]-[#6:7](=[O:10])-[#6:8]=[N:9]#[N:2].[#8:3].[#8:1]
CCN(CC)CC.CS(=O)(Cl)=O.NC1=CC=CC=C1/C(CC2=CC=CC=C2)=N\O>>CC[NH+](CC)CC.CS(=O)(O)=O.C3(CC4=CC=CC=C4)=NNC5=CC=CC=C35.[Cl-],[#6:1]-[#6:2]-[#7:3](-[#6:4]-[#6:5])-[#6:6]-[#6:7].[#6:8][S:9]([Cl:11])(=[O:10])=[O:12].[#7:13]-[#6:14]-1=[#6:15]-[#6:16]=[#6:17]-[#6:18]=[#6:19]-1\[#6:20](-[#6:21]-[#6:22]-1=[#6:23]-[#6:24]=[#6:25]-[#6:26]=[#6:27]-1)=[#7:28]/[#8:29]>>[#6:7]-[#6:6]-[#7+:3](-[#6:4]-[#6:5])-[#6:2]-[#6:1].[#6:8][S:9]([#8:29])(=[O:10])=[O:12].[#6:21](-[#6:20]-1=[#7:28]-[#7:13]-[#6:14]-2=[#6:15]-[#6:16]=[#6:17]-[#6:18]=[#6:19]-1-2)-[#6:22]-1=[#6:23]-[#6:24]=[#6:25]-[#6:26]=[#6:27]-1.[Cl-:11]
ON=O.CCCCO>>CCCCON=O.O,[#8:1]-[#7:2]=[O:3].[#6:4]-[#6:5]-[#6:6]-[#6:7]-[#8:8]>>[#6:4]-[#6:5]-[#6:6]-[#6:7]-[#8:8]-[#7:2]=[O:3].[#8:1]
NC1=CC=CC=C1N.O=CC=O>>C23=CC=CC=C2N=CC=N3.O.O,[#7:1]-[#6:2]-1=[#6:3]-[#6:4]=[#6:5]-[#6:6]=[#6:7]-1-[#7:8].[O:9]=[#6:10]-[#6:11]=[O:12]>>[#6:4]-1=[#6:5]-[#6:6]=[#6:7]-2-[#7:8]=[#6:11]-[#6:10]=[#7:1]-[#6:2]-2=[#6:3]-1.[#8:12].[#8:9]
ClC(=O)CCCCC(Cl)=O.C1=CC=CC=C1.C1=CC=CC=C1>>Cl.Cl.O=C(CCCCC(=O)C1=CC=CC=C1)C1=CC=CC=C1,[Cl:1][#6:2](=[O:3])-[#6:4]-[#6:5]-[#6:6]-[#6:7]-[#6:8]([Cl:9])=[O:10].[#6:11]-1=[#6:12]-[#6:13]=[#6:14]-[#6:15]=[#6:16]-1.[#6:17]-1=[#6:18]-[#6:19]=[#6:20]-[#6:21]=[#6:22]-1>>[Cl:9].[Cl:1].[O:3]=[#6:2](-[#6:4]-[#6:5]-[#6:6]-[#6:7]-[#6:8](=[O:10])-[#6:13]-1=[#6:14]-[#6:15]=[#6:16]-[#6:11]=[#6:12]-1)-[#6:19]-1=[#6:18]-[#6:17]=[#6:22]-[#6:21]=[#6:20]-1
CCCCC(CC)OSc1ccccc1>>CCC(O)CCC(C)Sc1ccccc1,[#6:1]-[#6:2]-[#6:3]-[#6:4]-[#6:5](-[#6:6]-[#6:7])-[#8:8]-[#16:9]-[c:10]1[c:11][c:12][c:13][c:14][c:15]1>>[#6:7]-[#6:6]-[#6:5](-[#8:8])-[#6:4]-[#6:3]-[#6:2](-[#6:1])-[#16:9]-[c:10]1[c:11][c:12][c:13][c:14][c:15]1
[C-]#[O+].[C-]#[O+].FC1=CC=C(C=C1)/C=C/C2=C(N(=O)=O)C=CC=C2C(N3CCC(N4C(NC5=C4C=CC=C5)=O)CC3)=O>>FC1=CC=C(C2=CC3=C(C=CC=C3C(N4CCC(N5C(NC6=C5C=CC=C6)=O)CC4)=O)N2)C=C1.O=C=O.O=C=O,[C-:1]#[O+:2].[C-:3]#[O+:4].[F:5][#6:6]-1=[#6:7]-[#6:8]=[#6:9](\[#6:12]=[#6:13]\[#6:14]-2=[#6:15](-[#6:19]=[#6:20]-[#6:21]=[#6:22]2-[#6:23](=[O:40])-[#7:24]-2-[#6:25]-[#6:26]-[#6:27](-[#6:38]-[#6:39]-2)-[#7:28]-2-[#6:29](=[O:37])-[#7:30]-[#6:31]-3=[#6:32]-2-[#6:33]=[#6:34]-[#6:35]=[#6:36]-3)[N:16](=[O:17])=[O:18])-[#6:10]=[#6:11]-1>>[F:5][#6:6]-1=[#6:7]-[#6:8]=[#6:9](-[#6:10]=[#6:11]-1)-[#6:12]-1=[#6:13]-[#6:14]-2=[#6:15](-[#7:16]-1)-[#6:19]=[#6:20]-[#6:21]=[#6:22]-2-[#6:23](=[O:40])-[#7:24]-1-[#6:25]-[#6:26]-[#6:27](-[#6:38]-[#6:39]-1)-[#7:28]-1-[#6:29](=[O:37])-[#7:30]-[#6:31]-2=[#6:32]-1-[#6:33]=[#6:34]-[#6:35]=[#6:36]-2.[O:2]=[C:1]=[O:17].[O:4]=[C:3]=[O:18]
CCN(CC)CC.ClSc1ccccc1.CCCCC(O)CC>>CCCCC(OSc2ccccc2)CC.CC[NH+](CC)CC.[Cl-],[#6:1]-[#6:2]-[#7:3](-[#6:4]-[#6:5])-[#6:6]-[#6:7].[Cl:8][#16:9]-[c:10]1[c:11][c:12][c:13][c:14][c:15]1.[#6:16]-[#6:17]-[#6:18]-[#6:19]-[#6:20](-[#8:21])-[#6:22]-[#6:23]>>[#6:16]-[#6:17]-[#6:18]-[#6:19]-[#6:20](-[#6:22]-[#6:23])-[#8:21]-[#16:9]-[c:10]1[c:11][c:12][c:13][c:14][c:15]1.[#6:7]-[#6:6]-[#7+:3](-[#6:4]-[#6:5])-[#6:2]-[#6:1].[Cl-:8]
NCC=C.NCC=C.COC(Cl)=O>>COC(NCC=C)=O.[NH3+]CC=C.[Cl-],[#7:1]-[#6:2]-[#6:3]=[#6:4].[#7:5]-[#6:6]-[#6:7]=[#6:8].[#6:9]-[#8:10]-[#6:11]([Cl:12])=[O:13]>>[#6:9]-[#8:10]-[#6:11](=[O:13])-[#7:1]-[#6:2]-[#6:3]=[#6:4].[#7+:5]-[#6:6]-[#6:7]=[#6:8].[Cl-:12]
COC(NCC=C)=O.CCCCCCC#CC#CBr.C1=CC=CC=N1>>CCCCCCC#CC#CN(CC=C)C(OC)=O.[Br-].[NH+]2=CC=CC=C2,[#6:1]-[#8:2]-[#6:3](=[O:8])-[#7:4]-[#6:5]-[#6:6]=[#6:7].[#6:9]-[#6:10]-[#6:11]-[#6:12]-[#6:13]-[#6:14][C:15]#[C:16][C:17]#[C:18][Br:19].[#6:22]-1=[#6:23]-[#6:24]=[#7:25]-[#6:20]=[#6:21]-1>>[#6:9]-[#6:10]-[#6:11]-[#6:12]-[#6:13]-[#6:14][C:15]#[C:16][C:17]#[C:18][#7:4](-[#6:5]-[#6:6]=[#6:7])-[#6:3](=[O:8])-[#8:2]-[#6:1].[Br-:19].[#6:22]-1=[#6:23]-[#6:24]=[#7+:25]-[#6:20]=[#6:21]-1
CC(C)[N-]C(C)C.CCCCCCC#CC(Cl)=C>>CCCCCCC#CC#C.CC(C)NC(C)C.[Cl-],[#6:1]-[#6:2](-[#6:3])-[#7-:4]-[#6:5](-[#6:6])-[#6:7].[#6:8]-[#6:9]-[#6:10]-[#6:11]-[#6:12]-[#6:13][C:14]#[C:15][#6:16]([Cl:17])=[#6:18]>>[#6:8]-[#6:9]-[#6:10]-[#6:11]-[#6:12]-[#6:13][C:14]#[C:15][C:16]#[C:18].[#6:7]-[#6:5](-[#6:6])-[#7:4]-[#6:2](-[#6:3])-[#6:1].[Cl-:17]
CCN(CC)CC.CC1CCCCC1=O.CC([Si](Cl)(C)C)(C)C>>CC2=C(CCCC2)O[Si](C(C)(C)C)(C)C.CC[NH+](CC)CC.[Cl-],[#6:1]-[#6:2]-[#7:3](-[#6:4]-[#6:5])-[#6:6]-[#6:7].[#6:8]-[#6:9]-1-[#6:10]-[#6:11]-[#6:12]-[#6:13]-[#6:14]-1=[O:15].[#6:16][C:17]([#6:22])([#6:23])[Si:18]([#6:20])([#6:21])[Cl:19]>>[#6:8]-[#6:9]-1=[#6:14](-[#6:13]-[#6:12]-[#6:11]-[#6:10]-1)-[#8:15][Si:18]([#6:20])([#6:21])[C:17]([#6:22])([#6:16])[#6:23].[#6:7]-[#6:6]-[#7+:3](-[#6:4]-[#6:5])-[#6:2]-[#6:1].[Cl-:19]
OC(CC(c1ccccc1)C=C)=O.II>>IC[C@@H]2OC(C[C@H]2c3ccccc3)=O.[H+].[I-],[OH:1][C:2](=[O:13])[CH2:3][CH:4]([CH:11]=[CH2:12])[c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1.[I:14][I:15]>>[I:15][CH2:12][C@@H:11]1[O:1][C:2](=[O:13])[CH2:3][C@H:4]1[c:5]1[cH:10][cH:9][cH:8][cH:7][cH:6]1.[I-:14]
C=C(C(S(c1ccccc1)=O)=C)S(c2ccccc2)=O.OO.OO>>C=C(S(=O)(c3ccccc3)=O)C(S(=O)(c4ccccc4)=O)=C.O.O,[#6:1]=[#6:2](-[#6:3](=[#6:12])[S:4](=[O:11])[c:5]1[c:6][c:7][c:8][c:9][c:10]1)[S:13](=[O:20])[c:14]1[c:15][c:16][c:17][c:18][c:19]1.[#8:21]-[#8:22].[#8:23]-[#8:24]>>[#6:12]=[#6:3](-[#6:2](=[#6:1])[S:13](=[O:20])(=[O:23])[c:14]1[c:15][c:16][c:17][c:18][c:19]1)[S:4](=[O:11])(=[O:22])[c:5]1[c:6][c:7][c:8][c:9][c:10]1.[#8:21].[#8:24]
O=Cc1ccccc1.FS(F)(c2ccccc2)F>>FC(c3ccccc3)F.FS(c4ccccc4)=O,[O:1]=[#6:2]-[c:3]1[c:4][c:5][c:6][c:7][c:8]1.[F:9][S:10]([F:11])([F:18])[c:12]1[c:13][c:14][c:15][c:16][c:17]1>>[F:18][#6:2]([F:11])-[c:3]1[c:4][c:5][c:6][c:7][c:8]1.[F:9][S:10](=[O:1])[c:12]1[c:17][c:16][c:15][c:14][c:13]1
O=S1(CC=CC1)=O.CCOC(/C=C/C(OCC)=O)=O>>CCOC([C@@H]2CC=CC[C@@H]2C(OCC)=O)=O.O=S=O,[O:1]=[S:2]1(=[O:7])[#6:3]-[#6:4]=[#6:5]-[#6:6]1.[#6:8]-[#6:9]-[#8:10]-[#6:11](=[O:19])\[#6:12]=[#6:13]\[#6:14](=[O:18])-[#8:15]-[#6:16]-[#6:17]>>[#6:8]-[#6:9]-[#8:10]-[#6:11](=[O:19])-[#6@H:12]-1-[#6:6]-[#6:5]=[#6:4]-[#6:3]-[#6@H:13]-1-[#6:14](=[O:18])-[#8:15]-[#6:16]-[#6:17].[O:1]=[S:2]=[O:7]
CCN(CC)CC.BrC1CCOC1=O>>O=C2OCC=C2.CC[N+](CC)([H])CC.[Br-],[#6:1]-[#6:2]-[#7:3](-[#6:4]-[#6:5])-[#6:6]-[#6:7].[Br:8][#6:9]-1-[#6:10]-[#6:11]-[#8:12]-[#6:13]-1=[O:14]>>[O:14]=[#6:13]-1-[#8:12]-[#6:11]-[#6:10]=[#6:9]-1.[#6:5]-[#6:4]-[#7+:3](-[#6:2]-[#6:1])-[#6:6]-[#6:7].[Br-:8]
CCOC(C1CC(C(C(OCC)=O)CC1=O)=O)=O.O.O>>O=C(CC2)CCC2=O.CCO.CCO.O=C=O.O=C=O,[#6:1]-[#6:2]-[#8:3]-[#6:4](=[O:18])-[#6:5]-1-[#6:6]-[#6:7](=[O:17])-[#6:8](-[#6:14]-[#6:15]-1=[O:16])-[#6:9](=[O:13])-[#8:10]-[#6:11]-[#6:12].[#8:19].[#8:20]>>[O:16]=[#6:15]-1-[#6:14]-[#6:8]-[#6:7](=[O:17])-[#6:6]-[#6:5]-1.[#6:1]-[#6:2]-[#8:3].[#6:12]-[#6:11]-[#8:10].[O:13]=[C:9]=[O:19].[O:18]=[C:4]=[O:20]
CCN.CCN.BrCC(Br)=C>>CCNCC(Br)=C.CC[NH3+].[Br-],[#6:1]-[#6:2]-[#7:3].[#6:4]-[#6:5]-[#7:6].[Br:7][#6:8]-[#6:9]([Br:10])=[#6:11]>>[#6:4]-[#6:5]-[#7:6]-[#6:8]-[#6:9]([Br:10])=[#6:11].[#6:1]-[#6:2]-[#7+:3].[Br-:7]
C1C2C=CC1C=C2.CC(C)(C)OOC(=O)c1ccccc1>>CC(C)(C)OC1C2C=CC1C=C2.OC(=O)c1ccccc1,[#6:1]-1-[#6:2]-2-[#6:3]=[#6:4]-[#6:5]-1-[#6:6]=[#6:7]-2.[#6:8][C:9]([#6:10])([#6:11])[#8:12]-[#8:13]-[#6:14](=[O:15])-[c:16]1[c:17][c:18][c:19][c:20][c:21]1>>[#6:10][C:9]([#6:8])([#6:11])[#8:12]-[#6:1]-1-[#6:2]-2-[#6:7]=[#6:6]-[#6:5]-1-[#6:4]=[#6:3]-2.[#8:13]-[#6:14](=[O:15])-[c:16]1[c:17][c:18][c:19][c:20][c:21]1
II.C1=CC=CC=C1>>IC2=CC=CC=C2.[H+].[I-],[I:1][I:2].[#6:3]-1=[#6:4]-[#6:5]=[#6:6]-[#6:7]=[#6:8]-1>>[I:2][#6:6]-1=[#6:7]-[#6:8]=[#6:3]-[#6:4]=[#6:5]-1.[I-:1]
NO.CCCCCCC([H])=O>>CCCCCC/C([H])=N/O.O,[#7:1]-[#8:2].[#6:3]-[#6:4]-[#6:5]-[#6:6]-[#6:7]-[#6:8]-[#6:9]=[O:10]>>[#6:3]-[#6:4]-[#6:5]-[#6:6]-[#6:7]-[#6:8]\[#6:9]=[#7:1]\[#8:2].[#8:10]
O=CC1=CC=CC=C1.O=CC2=CC=CC=C2.NN>>C3(/C=N/N=C/C4=CC=CC=C4)=CC=CC=C3.O.O,[O:1]=[#6:2]-[#6:3]-1=[#6:4]-[#6:5]=[#6:6]-[#6:7]=[#6:8]-1.[O:9]=[#6:10]-[#6:11]-1=[#6:12]-[#6:13]=[#6:14]-[#6:15]=[#6:16]-1.[#7:17]-[#7:18]>>[#6:10](=[#7:17]/[#7:18]=[#6:2]/[#6:3]-1=[#6:8]-[#6:7]=[#6:6]-[#6:5]=[#6:4]1)\[#6:11]-1=[#6:12]-[#6:13]=[#6:14]-[#6:15]=[#6:16]1.[#8:9].[#8:1]
O=CC1=CC=CC=C1.N#CCC2=CC=CC=C2>>N#C/C(C3=CC=CC=C3)=C\C4=CC=CC=C4.O,[O:1]=[#6:2]-[#6:3]-1=[#6:4]-[#6:5]=[#6:6]-[#6:7]=[#6:8]-1.[N:9]#[C:10][#6:11]-[#6:12]-1=[#6:13]-[#6:14]=[#6:15]-[#6:16]=[#6:17]-1>>[N:9]#[C:10]\[#6:11](=[#6:2]/[#6:3]-1=[#6:8]-[#6:7]=[#6:6]-[#6:5]=[#6:4]1)-[#6:12]-1=[#6:13]-[#6:14]=[#6:15]-[#6:16]=[#6:17]-1.[#8:1]
C=C(O[Si](C)(C)C(C)(C)C)/C=C/N(C)C.C=CC(OC)=O>>CN(C)C1C=C(O[Si](C)(C)C(C)(C)C)CCC1C(OC)=O,[#6:14]-[#7:13](-[#6:15])\[#6:12]=[#6:11]\[#6:2](=[#6:1])-[#8:3][Si:4]([#6:5])([#6:6])[C:7]([#6:8])([#6:9])[#6:10].[#6:20]-[#8:19]-[#6:18](=[O:21])-[#6:17]=[#6:16]>>[#6:20]-[#8:19]-[#6:18](=[O:21])-[#6:17]-1-[#6:16]-[#6:1]-[#6:2](-[#8:3][Si:4]([#6:5])([#6:6])[C:7]([#6:9])([#6:8])[#6:10])=[#6:11]-[#6:12]-1-[#7:13](-[#6:14])-[#6:15]
OC(C1=CC=CC2=C1OC3=C(C=CC=C32)C(O)=O)=O.ClS(Cl)=O.ClS(Cl)=O>>ClC(C4=CC=CC5=C4OC6=C(C=CC=C65)C(Cl)=O)=O.O=S=O.O=S=O.[H+].[Cl-].[H+].[Cl-],[#8:1]-[#6:2](=[O:19])-[#6:3]-1=[#6:4]-[#6:5]=[#6:6]-[#6:7]-2=[#6:8]-1-[#8:9]-[#6:10]-1=[#6:11](-[#6:12]=[#6:13]-[#6:14]=[#6:15]-2-1)-[#6:16](-[#8:17])=[O:18].[Cl:20][S:21]([Cl:22])=[O:23].[Cl:24][S:25]([Cl:26])=[O:27]>>[Cl:24][#6:2](=[O:19])-[#6:3]-1=[#6:4]-[#6:5]=[#6:6]-[#6:7]-2=[#6:8]-1-[#8:9]-[#6:10]-1=[#6:11](-[#6:12]=[#6:13]-[#6:14]=[#6:15]-2-1)-[#6:16]([Cl:20])=[O:18].[O:23]=[S:21]=[O:17].[O:27]=[S:25]=[O:1].[Cl-:22].[Cl-:26]
CC1=C(NC(C)C(C)=O)C(C)=CC(C)=C1.CC(OC=O)=O>>CC2=C(N(C=O)C(C)C(C)=O)C(C)=CC(C)=C2.CC(O)=O,[#6:6]-[#6:5](-[#7:4]-[#6:3]-1=[#6:2](-[#6:1])-[#6:15]=[#6:13](-[#6:14])-[#6:12]=[#6:10]-1-[#6:11])-[#6:7](-[#6:8])=[O:9].[#6:16]-[#6:17](=[O:21])-[#8:18]-[#6:19]=[O:20]>>[#6:6]-[#6:5](-[#7:4](-[#6:19]=[O:20])-[#6:3]-1=[#6:10](-[#6:11])-[#6:12]=[#6:13](-[#6:14])-[#6:15]=[#6:2]-1-[#6:1])-[#6:7](-[#6:8])=[O:9].[#6:16]-[#6:17](-[#8:18])=[O:21]
CCN(CC)CC.C[Si](C)(OC1=CCCC1)C.ClC(C(Cl)=O)Cl>>O=C2C(Cl)(C3(C2CCC3)O[Si](C)(C)C)Cl.CC[NH+](CC)CC.[Cl-],[#6:1]-[#6:2]-[#7:3](-[#6:4]-[#6:5])-[#6:6]-[#6:7].[#6:8][Si:9]([#6:10])([#6:17])[#8:11]-[#6:12]-1=[#6:13]-[#6:14]-[#6:15]-[#6:16]-1.[Cl:18][#6:19]([Cl:23])-[#6:20]([Cl:21])=[O:22]>>[#6:17][Si:9]([#6:10])([#6:8])[#8:11][C:12]12[#6:16]-[#6:15]-[#6:14]-[#6:13]1-[#6:20](=[O:22])[C:19]2([Cl:23])[Cl:18].[#6:5]-[#6:4]-[#7+:3](-[#6:2]-[#6:1])-[#6:6]-[#6:7].[Cl-:21]
NCC1=CC=CC=C1.NCC2=CC=CC=C2.ClC[Si](C)(C)C>>C[Si](C)(C)CNCC3=CC=CC=C3.[NH3+]CC4=CC=CC=C4.[Cl-],[#7:1]-[#6:2]-[#6:3]-1=[#6:4]-[#6:5]=[#6:6]-[#6:7]=[#6:8]-1.[#7:9]-[#6:10]-[#6:11]-1=[#6:12]-[#6:13]=[#6:14]-[#6:15]=[#6:16]-1.[#6:20][Si:19]([#6:21])([#6:22])[#6:18][Cl:17]>>[#6:22][Si:19]([#6:21])([#6:20])[#6:18]-[#7:1]-[#6:2]-[#6:3]-1=[#6:8]-[#6:7]=[#6:6]-[#6:5]=[#6:4]-1.[#7+:9]-[#6:10]-[#6:11]-1=[#6:12]-[#6:13]=[#6:14]-[#6:15]=[#6:16]-1.[Cl-:17]
COC1=CC=CC=C1C#CC2=CC=CC=C2.II>>IC(C3=CC=CC=C3O4)=C4C5=CC=CC=C5.CI,[#6:1]-[#8:2]-[#6:3]-1=[#6:4]-[#6:5]=[#6:6]-[#6:7]=[#6:8]-1[C:9]#[C:10][#6:11]-1=[#6:12]-[#6:13]=[#6:14]-[#6:15]=[#6:16]-1.[I:17][I:18]>>[I:18][#6:9]-1=[#6:10](-[#8:2]-[#6:3]-2=[#6:4]-[#6:5]=[#6:6]-[#6:7]=[#6:8]-1-2)-[#6:11]-1=[#6:16]-[#6:15]=[#6:14]-[#6:13]=[#6:12]-1.[#6:1][I:17]
ClP(Cl)(Cl)=O.O=C1C2=C(NC3=C1C=CC=C3)C=CC=C2>>ClC4=C5C=CC=CC5=NC6=C4C=CC=C6.OP(Cl)(Cl)=O,[Cl:1][P:2]([Cl:3])([Cl:4])=[O:5].[O:6]=[#6:7]-1-[#6:12]-2=[#6:11](-[#7:10]-[#6:9]-3=[#6:8]-1-[#6:20]=[#6:19]-[#6:18]=[#6:17]-3)-[#6:16]=[#6:15]-[#6:14]=[#6:13]-2>>[Cl:4][#6:7]-1=[#6:12]-2-[#6:13]=[#6:14]-[#6:15]=[#6:16]-[#6:11]-2=[#7:10]-[#6:9]-2=[#6:8]-1-[#6:20]=[#6:19]-[#6:18]=[#6:17]-2.[#8:6][P:2]([Cl:1])([Cl:3])=[O:5]
OC(C1=CC=CC=C1)C2=CC=CC=C2.OCCCl>>OCCOC(C3=CC=CC=C3)C4=CC=CC=C4.Cl,[#8:1]-[#6:2](-[#6:3]-1=[#6:4]-[#6:5]=[#6:6]-[#6:7]=[#6:8]-1)-[#6:9]-1=[#6:10]-[#6:11]=[#6:12]-[#6:13]=[#6:14]-1.[#8:15]-[#6:16]-[#6:17][Cl:18]>>[#8:15]-[#6:16]-[#6:17]-[#8:1]-[#6:2](-[#6:3]-1=[#6:4]-[#6:5]=[#6:6]-[#6:7]=[#6:8]-1)-[#6:9]-1=[#6:10]-[#6:11]=[#6:12]-[#6:13]=[#6:14]-1.[Cl:18]
CCN(CC)CC.O=C1CCC2(OCCO2)CC1.C[Si](C)(Cl)C>>C[Si](C)(OC3=CCC4(OCCO4)CC3)C.CC[NH+](CC)CC.[Cl-],[#6:1]-[#6:2]-[#7:3](-[#6:4]-[#6:5])-[#6:6]-[#6:7].[O:8]=[#6:9]-1-[#6:10]-[#6:11][C:12]2([#6:17]-[#6:18]-1)[#8:13]-[#6:14]-[#6:15]-[#8:16]2.[#6:19][Si:20]([#6:21])([#6:23])[Cl:22]>>[#6:23][Si:20]([#6:21])([#6:19])[#8:8]-[#6:9]-1=[#6:10]-[#6:11][C:12]2([#6:17]-[#6:18]-1)[#8:13]-[#6:14]-[#6:15]-[#8:16]2.[#6:5]-[#6:4]-[#7+:3](-[#6:2]-[#6:1])-[#6:6]-[#6:7].[Cl-:22]
CC1CO1.BrBr.[H][C@@]23CCC([C@]2(CC[C@]4([C@]3(CCC5=CC(CC[C@]45C)=O)[H])[H])C)=O>>[H][C@@]67CCC([C@]6(CC[C@]8([C@]7(CCC9=C(C(CC[C@]89C)=O)Br)[H])[H])C)=O.CC(O)CBr,[#6:1]-[#6:2]-1-[#6:3]-[#8:4]-1.[Br:5][Br:6].[#6:26][C@:11]12[#6:12]-[#6:13]-[#6@H:14]3-[#6@@H:15](-[#6:16]-[#6:17]-[#6:18]4=[#6:19]-[#6:20](=[O:25])-[#6:21]-[#6:22][C@:23]34[#6:24])-[#6@@H:7]1-[#6:8]-[#6:9]-[#6:10]2=[O:27]>>[#6:26][C@:11]12[#6:12]-[#6:13]-[#6@H:14]3-[#6@@H:15](-[#6:16]-[#6:17]-[#6:18]4=[#6:19]([Br:6])-[#6:20](=[O:25])-[#6:21]-[#6:22][C@:23]34[#6:24])-[#6@@H:7]1-[#6:8]-[#6:9]-[#6:10]2=[O:27].[#6:1]-[#6:2](-[#8:4])-[#6:3][Br:5]
CC(OC(C)(C)C)=O.COC(C1=CC=C(C#N)C=C1)=O.O>>COC(C2=CC=C(C(NC(C)(C)C)=O)C=C2)=O.CC(O)=O,[CH3:1][C:2](=[O:8])[O:3][C:4]([CH3:5])([CH3:6])[CH3:7].[CH3:9][O:10][C:11](=[O:20])[C:12]1=[CH:13][CH:14]=[C:15]([CH:18]=[CH:19]1)[C:16]#[N:17].[OH2:21]>>[CH3:9][O:10][C:11](=[O:20])[C:12]1=[CH:13][CH:14]=[C:15]([CH:18]=[CH:19]1)[C:16](=[O:21])[NH:17][C:4]([CH3:7])([CH3:6])[CH3:5].[CH3:1][C:2]([OH:3])=[O:8]
CC(C)(OO)C.O=CC1=CC2=CC=CC=C2C=C1.C3CCNC3>>O=C(C4=CC5=C(C=C4)C=CC=C5)N6CCCC6.CC(C)(O)C.O,[#6:1][C:2]([#6:3])([#6:6])[#8:4]-[#8:5].[O:7]=[#6:8]-[#6:9]-1=[#6:10]-[#6:11]-2=[#6:12]-[#6:13]=[#6:14]-[#6:15]=[#6:16]-2-[#6:17]=[#6:18]-1.[#6:19]-1-[#6:20]-[#6:21]-[#7:22]-[#6:23]-1>>[O:7]=[#6:8](-[#7:22]-1-[#6:21]-[#6:20]-[#6:19]-[#6:23]-1)-[#6:9]-1=[#6:10]-[#6:11]-2=[#6:16](-[#6:15]=[#6:14]-[#6:13]=[#6:12]-2)-[#6:17]=[#6:18]-1.[#6:3][C:2]([#6:1])([#6:6])[#8:4].[#8:5]
CC(C)([O-])C.FC1=CC=C(C=C1)NC(C2=CC=CC=C2I)=O>>FC3=CC4=C(C=C3)NC(C5=C4C=CC=C5)=O.CC(C)(O)C.[I-],[#6:1][C:2]([#6:3])([#6:5])[#8-:4].[F:6][#6:7]-1=[#6:8]-[#6:9]=[#6:10](-[#7:13]-[#6:14](=[O:22])-[#6:15]-2=[#6:16]-[#6:17]=[#6:18]-[#6:19]=[#6:20]-2[I:21])-[#6:11]=[#6:12]-1>>[F:6][#6:7]-1=[#6:12]-[#6:11]-2=[#6:10](-[#7:13]-[#6:14](=[O:22])-[#6:15]-3=[#6:20]-2-[#6:19]=[#6:18]-[#6:17]=[#6:16]-3)-[#6:9]=[#6:8]-1.[#6:5][C:2]([#6:3])([#6:1])[#8:4].[I-:21]
CCN(CC)CC.CS(=O)(Cl)=O.C/C(C1=CC=CC=C1NCC=C)=N\O>>CC2=NN(C3=C2C=CC=C3)CC=C.CC[NH+](CC)CC.CS(=O)(O)=O.[Cl-],[#6:1]-[#6:2]-[#7:3](-[#6:4]-[#6:5])-[#6:6]-[#6:7].[#6:8][S:9]([Cl:11])(=[O:10])=[O:12].[#6:13]\[#6:14](=[#7:25]/[#8:26])-[#6:15]-1=[#6:16]-[#6:17]=[#6:18]-[#6:19]=[#6:20]-1-[#7:21]-[#6:22]-[#6:23]=[#6:24]>>[#6:13]-[#6:14]-1=[#7:25]-[#7:21](-[#6:22]-[#6:23]=[#6:24])-[#6:20]-2=[#6:15]-1-[#6:16]=[#6:17]-[#6:18]=[#6:19]-2.[#6:7]-[#6:6]-[#7+:3](-[#6:4]-[#6:5])-[#6:2]-[#6:1].[#6:8][S:9]([#8:26])(=[O:10])=[O:12].[Cl-:11]
